,種類,題目,A,B,C,D,答案
537,ウルトラマンガイア,ウルトラマンガイアが使用する「ガイアビーム」の発射時に見られる特徴は？,高速光線,高熱の火炎,剣のようなビーム,高速回転,C
538,ウルトラマンガイア,ウルトラマンガイアのエピソード「古の封印」で、大地が使用する「ガイアビーム」の特性は？,高速ビーム,高熱光線,強力な打撃,照準を合わせる,B
539,ウルトラマンガイア,ウルトラマンガイアのエピソード「振り返るな、前を向け」で、大地が使用する「ガイアサンダー」の特性は？,高速の電撃,高熱の火炎,強力な光線,高速ビーム,A
540,ウルトラマンガイア,ウルトラマンガイアのエピソード「地球の運命」で、大地が最後に使用する必殺技の効果は？,高速ビーム,エネルギー爆発,高熱火炎,強力な打撃,B
541,ウルトラマンガイア,ウルトラマンガイアのエピソード「未来の使者」で、大地が協力する「未来の使者」の役割は？,敵として登場,支援を行う,未来の予知をする,環境修復を行う,B
542,ウルトラマンガイア,ウルトラマンガイアのエピソード「振り返るな、前を向け」で、大地が初めて戦う怪獣「ガルベロス」の特技は？,高熱光線,高速移動,高速回転,強力な打撃,D
543,ウルトラマンガイア,ウルトラマンガイアのエピソード「古の封印」で、大地が戦う怪獣「ドラゴン」の特徴は？,高熱火炎,高速移動,硬い外殻,高速ビーム,A
544,ウルトラマンガイア,ウルトラマンガイアのエピソード「地球の運命」で、大地が戦う敵「イーヴィルティガ」の特技は？,高熱光線,高速回転,強力な打撃,エネルギー吸収,D
545,ウルトラマンガイア,ウルトラマンガイアのエピソード「未来の使者」で、大地と共に未来から来た使者が協力する目的は？,地球の保護,環境修復,巨大怪獣の討伐,エネルギー供給,C
546,ウルトラマンガイア,ウルトラマンガイアのエピソード「振り返るな、前を向け」で、大地が戦う怪獣「ショウガ」の特徴は？,高速移動,高熱光線,強力な打撃,高速回転,C
547,ウルトラマンガイア,ウルトラマンガイアのエピソード「古の封印」で、大地が遭遇する怪獣「レイモス」の攻撃方法は？,高熱光線,高速移動,硬い外殻,強力な打撃,A
548,ウルトラマンガイア,ウルトラマンガイアのエピソード「振り返るな、前を向け」で、大地が最初に戦う怪獣の攻撃方法は？,高熱光線,高速移動,強力な打撃,エネルギー吸収,C
549,ウルトラマンガイア,ウルトラマンガイアのエピソード「地球の運命」で、イーヴィルティガとの最終決戦で使用される技は？,ガイアエクスプロージョン,ガイアビーム,ガイアサンダー,ガイアソード,A
550,ウルトラマンガイア,ウルトラマンガイアのエピソード「未来の使者」で、大地が協力する未来の使者の名前は？,石堂香,白山遥,御厨修,高野晶,C
551,ウルトラマンガイア,ウルトラマンガイアのエピソード「炎の戦士」で、大地が使用する技「ガイアソード」の特徴は？,エネルギー波,光線攻撃,剣のようなビーム,高速回転する光線,C
552,ウルトラマンガイア,ウルトラマンガイアのエピソード「振り返るな、前を向け」で、大地が使用する必殺技「ガイアビーム」の特性は？,高速光線,高熱の火炎,強力な光線,剣のような光線,C
553,ウルトラマンガイア,ウルトラマンガイアのエピソード「古の封印」で、大地が最初に対峙する怪獣の名前は？,バルタン星人,ガルベロス,ドラゴン,レイモス,B
554,ウルトラマンガイア,ウルトラマンガイアのエピソード「地球の運命」で、大地が最終決戦で使用する技のエネルギー源は？,ガイアスパーク,フラッシュスパーク,グリッタースパーク,ソルジェントスパーク,A
555,ウルトラマンガイア,ウルトラマンガイアのエピソード「未来の使者」で、大地が出会う未来の使者の役割は？,敵として登場,未来の予知をする,支援を行う,古代の情報を提供する,C
556,ウルトラマンガイア,ウルトラマンガイアのエピソード「振り返るな、前を向け」で、大地が使用する「ガイアサンダー」の特徴は？,高速の電撃,高熱の火炎,高速ビーム,強力な打撃,A
557,ウルトラマンガイア,ウルトラマンガイアのエピソード「炎の戦士」で、大地が使用する必殺技「ガイアソード」の特性は？,高速ビーム,エネルギー波,光線攻撃,剣のようなビーム,D
558,ウルトラマンガイア,ウルトラマンガイアのエピソード「古の封印」で、大地が戦う「レイモス」の特技は？,高熱光線,高速移動,硬い外殻,強力な打撃,A
559,ウルトラマンガイア,ウルトラマンガイアのエピソード「未来の使者」で、大地が未来から来た使者と共に行う任務の目的は？,世界の救済,環境修復,巨大怪獣の討伐,エネルギー供給,C
560,ウルトラマンガイア,ウルトラマンガイアのエピソード「炎の戦士」で、大地が使用する技「ガイアビーム」の特徴は？,高速移動するビーム,強力な光線,剣のようなビーム,高熱の火炎,B
561,ウルトラマンガイア,ウルトラマンガイアのエピソード「古の封印」で、大地が戦う怪獣「ゾイガー」の攻撃方法は？,高速移動,高熱光線,強力な打撃,高速回転,A
562,ウルトラマンガイア,ウルトラマンガイアのエピソード「地球の運命」で、大地が使用する「ガイアエクスプロージョン」の効果は？,高速ビーム,エネルギーの爆発,高熱の火炎,強力な打撃,B
563,ウルトラマンガイア,ウルトラマンガイアのエピソード「未来の使者」で、大地が協力する未来の使者の名前は？,高野晶,御厨修,石堂香,白山遥,B
564,ウルトラマンガイア,ウルトラマンガイアのエピソード「振り返るな、前を向け」で、大地が遭遇する怪獣「ショウガ」の特徴は？,高速回転,高熱光線,高速移動,強力な打撃,D
565,ウルトラマンガイア,ウルトラマンガイアのエピソード「古の封印」で、大地が戦う怪獣「ドラゴン」の特技は？,高熱の火炎,高速移動,硬い外殻,高速ビーム,A
566,ウルトラマンガイア,ウルトラマンガイアのエピソード「地球の運命」で、大地が最終的に対峙する怪獣の能力は？,高熱光線,高速回転,強力な打撃,エネルギー吸収,D
567,ウルトラマンガイア,ウルトラマンガイアのエピソード「振り返るな、前を向け」で、大地が使用する「ガイアサンダー」の効果は？,高速電撃,高熱火炎,強力な光線,高速ビーム,A
568,ウルトラマンガイア,ウルトラマンガイアのエピソード「未来の使者」で、大地が出会う未来の使者の役割は？,敵として登場,支援を行う,未来の予知をする,環境修復を行う,B
569,ウルトラマンガイア,ウルトラマンガイアのエピソード「振り返るな、前を向け」で、大地が使用する「ガイアビーム」の発射時に見られる特徴は？,高速光線,高熱の火炎,剣のようなビーム,強力な光線,D
570,ウルトラマンガイア,ウルトラマンガイアのエピソード「古の封印」で、大地が戦う怪獣「レイモス」の特徴は？,高熱光線,高速移動,硬い外殻,強力な打撃,A
571,ウルトラマンガイア,ウルトラマンガイアのエピソード「未来の使者」で、大地が未来から来た使者と共に解決しようとする問題は？,地球の崩壊,環境破壊,巨大怪獣の侵略,エネルギー不足,C
572,ウルトラマンガイア,ウルトラマンガイアのエピソード「振り返るな、前を向け」で、大地が戦う怪獣「シルバ」の特徴は？,高熱光線,高速移動,強力な打撃,高速回転,A
573,ウルトラマンガイア,ウルトラマンガイアのエピソード「炎の戦士」で、大地が使う「ガイアエクスプロージョン」のエネルギー源は？,ガイアスパーク,ソルジェントスパーク,フラッシュスパーク,グリッタースパーク,A
574,ウルトラマンガイア,ウルトラマンガイアのエピソード「地球の運命」で、大地が使用する「ガイアソード」の特性は？,剣のようなビーム,高速ビーム,エネルギー波,高熱の火炎,A
575,ウルトラマンガイア,ウルトラマンガイアのエピソード「古の封印」で、大地が戦う怪獣「ゾイガー」の特技は？,高速移動,高熱光線,高速回転,強力な打撃,A
576,ウルトラマンガイア,ウルトラマンガイアのエピソード「振り返るな、前を向け」で、大地が初めて戦う怪獣の名前は？,ガルベロス,シルバ,ゾイガー,ドラゴン,B
577,ウルトラマンガイア,ウルトラマンガイアのエピソード「未来の使者」で、大地が使用する「ガイアビーム」の特性は？,高速ビーム,強力な光線,剣のようなビーム,高熱の火炎,B
578,ウルトラマンガイア,ウルトラマンガイアのエピソード「古の封印」で、大地が最初に戦う怪獣「ガルベロス」の攻撃方法は？,高速移動,高熱光線,強力な打撃,高速回転,C
579,ウルトラマンガイア,ウルトラマンガイアのエピソード「炎の戦士」で、大地が協力する人物は？,白山遥,石堂香,御厨修,高野晶,A
580,ウルトラマンガイア,ウルトラマンガイアのエピソード「地球の運命」で、大地が最終決戦に挑む相手の能力は？,高熱光線,高速回転,強力な打撃,エネルギー吸収,D
581,ウルトラマンガイア,ウルトラマンガイアのエピソード「振り返るな、前を向け」で、大地が遭遇する怪獣「ショウガ」の特技は？,高熱光線,高速移動,強力な打撃,高速回転,C
582,ウルトラマンガイア,ウルトラマンガイアのエピソード「未来の使者」で、大地が協力する未来の使者の名前は？,高野晶,白山遥,石堂香,御厨修,D
583,ウルトラマンガイア,ウルトラマンガイアのエピソード「炎の戦士」で、大地が使用する「ガイアビーム」の特徴は？,高速移動するビーム,強力な光線,剣のようなビーム,高熱の火炎,B
584,ウルトラマンガイア,ウルトラマンガイアのエピソード「古の封印」で、大地が遭遇する「レイモス」の攻撃方法は？,高熱光線,高速移動,硬い外殻,強力な打撃,A
585,ウルトラマンガイア,ウルトラマンガイアのエピソード「地球の運命」で、大地が使用する「ガイアエクスプロージョン」の効果は？,高速ビーム,エネルギーの爆発,高熱の火炎,強力な打撃,B
586,ウルトラマンガイア,ウルトラマンガイアのエピソード「振り返るな、前を向け」で、大地が戦う怪獣「ガルベロス」の特技は？,高熱光線,高速移動,高速回転,強力な打撃,D
587,ウルトラマンガイア,ウルトラマンガイアのエピソード「炎の戦士」で、大地が使用する「ガイアサンダー」の特徴は？,高速電撃,高熱火炎,高速ビーム,強力な打撃,A
588,ウルトラマンガイア,ウルトラマンガイアのエピソード「古の封印」で、大地が戦う怪獣「ゾイガー」の攻撃方法は？,高速移動,高熱光線,強力な打撃,高速回転,A
589,ウルトラマンガイア,ウルトラマンガイアのエピソード「未来の使者」で、大地が未来から来た使者と共に解決する問題の内容は？,巨大怪獣の討伐,環境修復,世界の崩壊防止,エネルギー供給,A
590,ウルトラマンガイア,ウルトラマンガイアのエピソード「振り返るな、前を向け」で、大地が使用する「ガイアビーム」の特徴は？,高速光線,剣のようなビーム,高熱の火炎,強力な光線,D
591,ウルトラマンガイア,ウルトラマンガイアのエピソード「地球の運命」で、大地が戦う敵「イーヴィルティガ」の特技は？,エネルギー吸収,高熱光線,高速回転,強力な打撃,A
592,ウルトラマンガイア,ウルトラマンガイアのエピソード「振り返るな、前を向け」で、大地が協力する人物は？,御厨修,石堂香,白山遥,高野晶,C
593,ウルトラマンガイア,ウルトラマンガイアのエピソード「古の封印」で、大地が遭遇する怪獣「レイモス」の攻撃方法は？,高熱光線,高速移動,硬い外殻,強力な打撃,A
594,ウルトラマンガイア,ウルトラマンガイアのエピソード「炎の戦士」で、大地が使用する「ガイアエクスプロージョン」のエネルギー源は？,ガイアスパーク,ソルジェントスパーク,フラッシュスパーク,グリッタースパーク,A
595,ウルトラマンガイア,ウルトラマンガイアのエピソード「未来の使者」で、大地が未来から来た使者の目的は？,世界の崩壊を防ぐ,環境修復を行う,巨大怪獣を討伐する,エネルギー問題を解決する,C
596,ウルトラマンガイア,ウルトラマンガイアのエピソード「振り返るな、前を向け」で、大地が対峙する「ガルベロス」の攻撃方法は？,高速移動,高熱光線,強力な打撃,高速回転,B
597,ウルトラマンガイア,ウルトラマンガイアのエピソード「地球の運命」で、大地が最終決戦で使用する「ガイアソード」の特性は？,剣のようなビーム,高速ビーム,エネルギー波,高熱の火炎,A
598,ウルトラマンガイア,ウルトラマンガイアのエピソード「古の封印」で、大地が戦う怪獣「ゾイガー」の特徴は？,高速移動,高熱光線,硬い外殻,強力な打撃,A
599,ウルトラマンガイア,. ウルトラマンガイアのエピソード「振り返るな、前を向け」で、大地が使用する「ガイアサンダー」の効果は？,高速電撃,高熱火炎,高速ビーム,強力な打撃,A
600,ウルトラマンガイア,ウルトラマンメビウスの本名は何ですか？,ホリイ・カズキ,ミナト・ヒロシ,ケン・ヒデキ,ビクトル・ハート,B
601,ウルトラマンガイア,ウルトラマンメビウスが変身する際に使うアイテムは何ですか？,メビウスブレス,メビウスアイ,メビウスリング,メビウスバトン,A
602,ウルトラマンガイア,ウルトラマンメビウスのエネルギー源として重要なアイテムは何ですか？,メビウススパーク,スペシウム光線,ウルトラパワー,ダイナビーム,A
603,ウルトラマンガイア,ウルトラマンメビウスの敵、メトロン星人の特徴は？,高速移動,強力なビーム,変身能力,高い防御力,C
604,ウルトラマンガイア,ウルトラマンメビウスの変身ポーズで、大地が行う動作は？,両手を広げる,両手を胸の前で合わせる,片手を上げる,片膝をつく,B
605,ウルトラマンガイア,ウルトラマンメビウスのパートナーとして登場するロボットの名前は？,メビウスロボ,ギンガロボ,ジェットビートル,ダイナガイスト,C
606,ウルトラマンガイア,ウルトラマンメビウスが登場する作品の放送開始年は？,2000年,2001年,2002年,2006年,D
607,ウルトラマンガイア,ウルトラマンメビウスの変身に関与する「ムサシ」の役割は？,変身アイテムの提供,直接戦闘の支援,情報の提供,メビウススパークの充電,A
608,ウルトラマンガイア,ウルトラマンメビウスの必殺技「メビウスバーニング」にはどのような効果がありますか？,高速移動,高熱の火炎,強力な打撃,光線の放射,B
609,ウルトラマンガイア,ウルトラマンメビウスのエピソード「誕生! ウルトラマンメビウス」で、メビウスが初めて戦う怪獣は？,ゴモラ,グドン,ゼットン,バルタン星人,B
610,ウルトラマンガイア,ウルトラマンメビウスの技「メビウスシューティング」の効果は？,高速ビーム,強力な火炎,エネルギーの爆発,斬撃,A
611,ウルトラマンガイア,ウルトラマンメビウスの変身後の姿はどのようなデザインですか？,青いボディに赤いライン,赤いボディに青いライン,緑のボディに白いライン,白いボディに赤いライン,B
612,ウルトラマンガイア,ウルトラマンメビウスのエピソード「敵か味方か!? 怪獣マザー」の怪獣「マザー」は何を求めていたか？,力を求めて,自分の子供を守るため,地球の支配,対決を望んで,B
613,ウルトラマンガイア,ウルトラマンメビウスの必殺技「メビウスバーナー」はどのような攻撃ですか？,高熱の火炎放射,強力なエネルギー波,高速ビーム,強力な打撃,A
614,ウルトラマンガイア,ウルトラマンメビウスのエピソード「新たなる使命」で、大地の仲間たちのチーム名は？,ウルトラマンチーム,宇宙防衛隊,ガーディアン隊,トライスターズ,C
615,ウルトラマンガイア,ウルトラマンメビウスの変身時に発するセリフは？,「メビウス、変身！」,「ウルトラ、スパーク！」,「メビウス、来た！」,「変身、メビウス！」,A
616,ウルトラマンガイア,ウルトラマンメビウスが戦う「ゼットン」とは何の敵ですか？,宇宙からの侵略者,地球の防衛者,地球の支配者,政府の工作員,A
617,ウルトラマンガイア,ウルトラマンメビウスのエピソード「災厄の未来」で、メビウスが向かう未来の都市は？,ニューヨーク,東京,グリーンシティ,ザ・シティ,C
618,ウルトラマンガイア,ウルトラマンメビウスの必殺技「メビウスバーニング」の発動に必要なアイテムは？,メビウスブレス,メビウススパーク,メビウスリング,メビウスカード,B
619,ウルトラマンガイア,ウルトラマンメビウスのエピソード「エースの証」で、大地が登場するウルトラマンは？,ウルトラマンエース,ウルトラマンティガ,ウルトラマンタロウ,ウルトラマンレオ,A
620,ウルトラマンガイア,ウルトラマンメビウスのエピソード「激闘! メビウスVSダークメビウス」で、メビウスが対決する敵は？,ダークメビウス,ディノザウルス,ゴモラ,バルタン星人,A
621,ウルトラマンガイア,ウルトラマンメビウスのエピソード「ガイアの使命」で、メビウスが協力するウルトラマンは？,ウルトラマンガイア,ウルトラマンゼロ,ウルトラマンコスモス,ウルトラマンビクトリー,A
622,ウルトラマンガイア,ウルトラマンメビウスの必殺技「メビウスシューティング」のエネルギーはどこから得る？,メビウスブレス,メビウススパーク,ウルトラパワー,宇宙のエネルギー,B
623,ウルトラマンガイア,ウルトラマンメビウスのエピソード「破壊の天使」で、大地が出会う天使のような怪獣は？,デビルス,エンジェルス,スフィンクス,アルティメットスフィンクス,B
624,ウルトラマンガイア,ウルトラマンメビウスのエピソード「勇気を持って」で、大地が困難に直面した際に発揮する能力は？,瞬間移動,超音波攻撃,気合の強化,エネルギー変換,C
625,ウルトラマンガイア,ウルトラマンメビウスのエピソード「友の力」で、大地の友人として登場する科学者の名前は？,高野晶,佐藤健,石堂香,宮本博士,D
626,ウルトラマンガイア,ウルトラマンメビウスの必殺技「メビウスバーニング」で、発射される光線の色は？,青,赤,緑,黄,B
627,ウルトラマンガイア,ウルトラマンメビウスのエピソード「天使と悪魔」で、大地が対決する怪獣は？,バルタン星人,ガボラ,ゼットン,モンスアー,B
628,ウルトラマンガイア,ウルトラマンメビウスが地球に来る目的は何ですか？,宇宙の平和を守るため,地球の侵略,自身の修行,親の遺志を果たすため,A
629,ウルトラマンガイア,ウルトラマンメビウスのエピソード「星の神話」で、大地が向かう異星の名前は？,アルファ星,ベガ星,カシオペア星,リゲル星,D
630,ウルトラマンガイア,ウルトラマンメビウスのエピソード「勇気の先に」で、大地が活用する武器は？,メビウスソード,メビウスランチャー,メビウスアックス,メビウスビーム,A
631,ウルトラマンガイア,ウルトラマンメビウスのエピソード「力を合わせて」で、メビウスと共闘するウルトラ戦士は？,ウルトラマンティガ,ウルトラマンゼロ,ウルトラマンタロウ,ウルトラマンエース,D
632,ウルトラマンガイア,ウルトラマンメビウスが地球で最初に出会う怪獣は？,ゴモラ,ゼットン,グドン,バルタン星人,C
633,ウルトラマンガイア,ウルトラマンメビウスが登場するエピソード「最後の決戦」で、最終的に大地が対決する敵の名前は？,ダークメビウス,ゼットン,メトロン星人,バルタン星人,A
634,ウルトラマンガイア,ウルトラマンメビウスのエピソード「夢を信じて」で、大地が信じる夢の内容は？,平和な未来の世界,超能力を持つ自分,強力な怪獣の討伐,宇宙の冒険,A
635,ウルトラマンガイア,ウルトラマンメビウスのエピソード「心の絆」で、大地の心の支えとなるのは？,友人たちの支援,過去の経験,知識,未来の予知,A
636,ウルトラマンガイア,ウルトラマンメビウスのエピソード「失われた過去」で、大地が探す「失われた過去」とは何を指している？,自身の記憶,破壊された宇宙,亡くなった仲間,地球の古代文明,A
637,ウルトラマンガイア,ウルトラマンメビウスのエピソード「悲しみの星」で、大地が向かう星の名前は？,アンドロメダ星,シリウス星,オリオン星,フィオリ星,D
638,ウルトラマンガイア,ウルトラマンメビウスのエピソード「未来への約束」で、大地が達成しようとする約束は？,平和の維持,過去の修復,宇宙の探検,強力な怪獣の討伐,A
639,ウルトラマンガイア,ウルトラマンメビウスが最初に対決する怪獣の攻撃方法は？,高熱光線,高速移動,巨大な打撃,爆発,A
640,ウルトラマンガイア,ウルトラマンメビウスのエピソード「希望の光」で、大地が取り組む問題は？,地球の環境問題,宇宙の異常,敵勢力の侵略,人々の希望喪失,D
641,ウルトラマンガイア,ウルトラマンメビウスのエピソード「真実の先に」で、大地が発見する「真実」は何を指している？,自身の使命,敵の正体,宇宙の秘密,未来の予知,A
642,ウルトラマンガイア,ウルトラマンメビウスのエピソード「仲間の絆」で、大地が仲間たちと築く「絆」とは？,協力関係,感情の共有,戦略の立案,戦闘能力の向上,B
643,ウルトラマンガイア,ウルトラマンメビウスのエピソード「誕生の秘密」で、大地が発見する「誕生の秘密」とは？,自身の起源,宇宙の起源,怪獣の誕生,過去の戦い,A
644,ウルトラマンガイア,ウルトラマンメビウスが地球に来た理由として正しいのは？,宇宙の平和を守るため,自身の修行,地球のエネルギー収集,友人を探すため,A
645,ウルトラマンガイア,ウルトラマンメビウスのエピソード「失われた信頼」で、大地が失う信頼とは？,仲間からの信頼,自身の信念,地球人からの信頼,宇宙人からの信頼,A
646,ウルトラマンガイア,ウルトラマンメビウスが登場するエピソード「守るべきもの」で、大地が守ろうとするものは？,地球の平和,宇宙の安定,自身の記憶,仲間たちの安全,D
647,ウルトラマンガイア,ウルトラマンメビウスのエピソード「決戦! ダークメビウス」で、ダークメビウスが持つ特技は？,高熱光線,エネルギー吸収,瞬間移動,巨大化,B
648,ウルトラマンガイア,ウルトラマンメビウスが使用する「メビウスバーニング」の発動条件は？,スパークの充填,エネルギーの集中,高度な精神集中,直接の攻撃対象,A
649,ウルトラマンガイア,ウルトラマンメビウスのエピソード「守るべきもの」で、大地が守ることに誓ったものは？,地球の環境,人々の平和,自身の使命,未来の希望,B
650,ウルトラマンガイア,ウルトラマンメビウスのエピソード「闇の中の光」で、大地が出会う怪獣は？,ゴモラ,メカゴモラ,ギガス,ダークルーム,C
651,ウルトラマンガイア,ウルトラマンメビウスのエピソード「未来の英雄」で、大地が未来から来た英雄として認識される理由は？,強力な戦闘能力,自身の経験,敵を撃退した実績,未来の知識,C
652,ウルトラマンガイア,ウルトラマンメビウスのエピソード「終焉の序曲」で、大地が対決する強敵の名前は？,ダークメビウス,ゼットン,バルタン星人,ギガス,A
653,ウルトラマンガイア,ウルトラマンメビウスのエピソード「星の伝説」で、大地が追う伝説とは？,失われた星の文明,宇宙の秘宝,神話の怪獣,宇宙の平和,A
654,ウルトラマンガイア,ウルトラマンメビウスが使用する「メビウスシューティング」のエネルギー源は？,メビウスブレス,メビウススパーク,ウルトラパワー,宇宙エネルギー,B
655,ウルトラマンガイア,ウルトラマンメビウスのエピソード「希望の星」で、大地が出会う希望の象徴は？,エネルギーの結晶,神話の伝説,超能力を持つ子供,未来の予知者,C
656,ウルトラマンガイア,ウルトラマンメビウスが活躍する「ウルトラマンメビウス&ウルトラ兄弟」に登場するウルトラ戦士の名前は？,ウルトラマンタロウ,ウルトラマンゼロ,ウルトラマンコスモス,ウルトラマンレオ,A
657,ウルトラマンガイア,ウルトラマンメビウスのエピソード「過去の影」で、大地が直面する過去の影とは？,自身の過去,敵の過去,失われた文明,亡くなった仲間,A
658,ウルトラマンガイア,ウルトラマンメビウスのエピソード「友よ、再び」で、大地が再会する友人の名前は？,高野晶,石堂香,宮本博士,大空ヒロシ,D
659,ウルトラマンガイア,ウルトラマンメビウスのエピソード「仲間の力」で、大地が学ぶ「仲間の力」とは？,協力の重要性,戦闘の技術,情報の共有,戦略の立案,A
660,ウルトラマンガイア,ウルトラマンメビウスの必殺技「メビウスバーナー」の発動時に、メビウスが使用するポーズは？,両手を上に向ける,両手を前に出す,片手を上に上げる,両手を合わせる,B
661,ウルトラマンガイア,ウルトラマンメビウスのエピソード「光の使者」で、大地が登場する光の使者は？,ウルトラマンコスモス,ウルトラマンゼロ,ウルトラマンタロウ,ウルトラマンティガ,D
662,ウルトラマンガイア,ウルトラマンメビウスが使用する「メビウススパーク」はどこに装着するアイテムですか？,腕,胸,手首,足,B
