,種類,題目,A,B,C,D,答案
663,ウルトラマンガイア,ウルトラマンメビウスのエピソード「超人の誕生」で、大地が出会う超人の名前は？,ヴィクトリウム,サイバーゴモラ,エネルギア,アルティメットゼロ,A
664,ウルトラマンガイア,ウルトラマンメビウスのエピソード「異星の侵略者」で、大地が対決する異星の侵略者は？,バルタン星人,メトロン星人,ガボラ,デビルス,B
665,ウルトラマンガイア,ウルトラマンメビウスのエピソード「未来の使命」で、大地が未来に求める使命は？,平和の維持,宇宙の探検,敵の討伐,自身の強化,A
666,ウルトラマンガイア,ウルトラマンメビウスのエピソード「再会の約束」で、大地が再会する約束を交わす相手は？,友人,敵,家族,未来の自己,A
667,ウルトラマンガイア,ウルトラマンメビウスの必殺技「メビウスバーニング」はどのような効果を持つ？,高熱で敵を焼き尽くす,強力な爆発を引き起こす,高速の光線で攻撃する,高いエネルギーを放出する,A
668,ウルトラマンガイア,ウルトラマンメビウスのエピソード「終焉の使者」で、大地が戦う使者の名前は？,ダークメビウス,アルティメットスフィンクス,ギガス,デビルス,A
669,ウルトラマンガイア,ウルトラマンメビウスのエピソード「宇宙の希望」で、大地が目指す宇宙の希望とは？,平和の実現,敵の討伐,人々の安全,自身の成長,A
670,ウルトラマンガイア,ウルトラマンメビウスが登場する映画「ウルトラマンメビウス&ウルトラ兄弟」で、ウルトラ兄弟として登場するウルトラ戦士は？,ウルトラマンタロウ,ウルトラマンゼロ,ウルトラマンレオ,ウルトラマンコスモス,A
671,ウルトラマンガイア,ウルトラマンメビウスのエピソード「謎の来訪者」で、大地が対決する来訪者は？,バルタン星人,メトロン星人,デビルス,ギガス,C
672,ウルトラマンガイア,ウルトラマンメビウスが使用する「メビウスバーニング」のエネルギー源は？,メビウススパーク,宇宙エネルギー,高度な精神エネルギー,自身の体力,A
673,ウルトラマンガイア,ウルトラマンメビウスのエピソード「失われた伝説」で、大地が探す伝説の内容は？,超能力の源,失われた星の文明,宇宙の秘宝,古代の怪獣,B
674,ウルトラマンガイア,ウルトラマンメビウスが地球に来た際、初めて出会った地球人の名前は？,高野晶,石堂香,大空ヒロシ,佐藤健,C
675,ウルトラマンガイア,ウルトラマンメビウスのエピソード「希望の星」で、大地が希望の星と呼ぶ場所はどこ？,アンドロメダ星,フィオリ星,リゲル星,アルファ星,B
676,ウルトラマンガイア,ウルトラマンメビウスのエピソード「未来のヒーロー」で、大地が未来のヒーローとして認識される理由は？,敵の撃退,平和の維持,超能力の使用,戦闘経験の豊富さ,A
677,ウルトラマンガイア,ウルトラマンメビウスが使用する「メビウススパーク」の機能は？,高速移動,エネルギーの放出,瞬間移動,防御シールドの発動,B
678,ウルトラマンガイア,ウルトラマンメビウスのエピソード「仲間たちの力」で、大地が得る力の源は？,友情,自身の成長,知識,強力な武器,A
679,ウルトラマンガイア,ウルトラマンメビウスのエピソード「過去の影」で、大地が対決する影の正体は？,自身の過去,未知の怪獣,敵の化身,ダークメビウス,A
680,ウルトラマンガイア,ウルトラマンメビウスのエピソード「光の戦士」で、大地が出会う光の戦士の名前は？,ウルトラマンコスモス,ウルトラマンタロウ,ウルトラマンゼロ,ウルトラマンティガ,D
681,ウルトラマンガイア,ウルトラマンメビウスのエピソード「再会の約束」で、大地が再会を果たすのは？,友人,家族,敵,古代の戦士,A
682,ウルトラマンガイア,ウルトラマンメビウスのエピソード「真実の先に」で、大地が発見する「真実」とは？,自身の使命,敵の正体,宇宙の秘密,古代文明の遺産,A
683,ウルトラマンガイア,ウルトラマンメビウスのエピソード「未来への希望」で、大地が求める未来とは？,平和な世界,勝利の確保,強力な武器,友人との再会,A
684,ウルトラマンガイア,ウルトラマンメビウスのエピソード「最後の決戦」で、大地が戦う最後の敵は？,ダークメビウス,ギガス,ゼットン,メトロン星人,A
685,ウルトラマンガイア,ウルトラマンメビウスのエピソード「絶望の星」で、大地が直面する絶望の原因は？,敵の襲撃,環境の破壊,仲間の離反,未来の予知,A
686,ウルトラマンガイア,ウルトラマンメビウスが地球で最初に対決する怪獣の特徴は？,巨大な体,高熱光線,高速移動,巨大な打撃,B
687,ウルトラマンガイア,ウルトラマンメビウスのエピソード「勇気の先に」で、大地が発揮する勇気の内容は？,敵との戦闘,仲間への支援,自身の困難な状況,未知の冒険,C
688,ウルトラマンガイア,ウルトラマンメビウスのエピソード「心の絆」で、大地が学ぶ「心の絆」とは？,協力の大切さ,戦闘の技術,情報の共有,知識の交換,A
689,ウルトラマンガイア,ウルトラマンメビウスが使用する「メビウスアタック」の特徴は？,高速での連続攻撃,強力なエネルギー波,瞬時の移動,高熱光線,A
690,ウルトラマンガイア,ウルトラマンメビウスのエピソード「新たな希望」で、大地が目指す新たな希望は？,宇宙の平和,地球の復興,敵の撃退,自身の成長,B
691,ウルトラマンガイア,ウルトラマンメビウスのエピソード「守るべきもの」で、大地が守るべきものとは？,友人,地球,自身の使命,宇宙の平和,B
692,ウルトラマンガイア,ウルトラマンメビウスが戦う相手「デビルス」の特徴は？,高熱光線を放つ,巨大化する能力,高速移動が可能,エネルギー吸収能力,D
693,ウルトラマンガイア,ウルトラマンメビウスのエピソード「過去の探求」で、大地が探求する過去の内容は？,自身の起源,地球の歴史,宇宙の秘密,敵の正体,A
694,ウルトラマンガイア,ウルトラマンメビウスのエピソード「新たな仲間」で、大地が出会う新たな仲間の名前は？,高野晶,石堂香,佐藤健,大空ヒロシ,D
695,ウルトラマンガイア,ウルトラマンメビウスのエピソード「星の神話」で、大地が直面する星の神話の内容は？,失われた文明,強力な怪獣,宇宙の秘密,平和の維持,A
696,ウルトラマンガイア,ウルトラマンメビウスのエピソード「友情の力」で、大地が得る「友情の力」はどのようなものか？,強力な武器,協力による戦力,知識の拡充,自身の能力の向上,B
697,ウルトラマンガイア,ウルトラマンメビウスが「メビウスバーニング」で使用するエネルギー形態は？,高熱,爆発,光線,風,A
698,ウルトラマンガイア,ウルトラマンメビウスのエピソード「心の光」で、大地が学ぶ「心の光」とは？,知識,希望,愛,勇気,B
699,ウルトラマンガイア,. ウルトラマンメビウスのエピソード「仲間の絆」で、大地と仲間たちが成し遂げることは？,敵の撃退,地球の防衛,宇宙の探索,自身の成長,A
700,ウルトラマンゼロ,ウルトラマンゼロの初登場作品は？,ウルトラマンメビウス,ウルトラマンゼロ THE MOVIE,ウルトラマンギンガ,ウルトラマンオーブ,B
701,ウルトラマンゼロ,ウルトラマンゼロの父親は誰ですか？,ウルトラマンタロウ,ウルトラマンキング,ウルトラマンレオ,ウルトラマンジャック,A
702,ウルトラマンゼロ,ウルトラマンゼロが使用する必殺技「ゼロビーム」のエネルギーの源は？,太陽エネルギー,ゼロスパーク,宇宙エネルギー,精神エネルギー,B
703,ウルトラマンゼロ,ウルトラマンゼロが「ゼロスラッガー」を使用する際、何をするか？,巨大化,高速移動,切断攻撃,エネルギー波,C
704,ウルトラマンゼロ,ウルトラマンゼロの必殺技「ゼロツインシュート」の特徴は？,双方のエネルギー波を同時に発射,高速の光線攻撃,巨大なエネルギー爆発,防御シールドの展開,A
705,ウルトラマンゼロ,ウルトラマンゼロが持つ変身アイテム「ゼロスパーク」の役割は？,高速移動,エネルギー供給,変身サポート,防御力強化,C
706,ウルトラマンゼロ,ウルトラマンゼロの宿敵「ダークロプスゼロ」の特性は？,高速飛行能力,エネルギー吸収能力,強力な物理攻撃,高熱光線,B
707,ウルトラマンゼロ,ウルトラマンゼロのエピソード「ウルトラマンゼロ THE MOVIE」でのメインの敵は？,バルタン星人,ダークロプス,ゼットン,デビルス,B
708,ウルトラマンゼロ,ウルトラマンゼロのエピソード「ウルトラマンゼロ THE MOVIE」で、ゼロが協力するウルトラマンは？,ウルトラマンティガ,ウルトラマンガイア,ウルトラマンメビウス,ウルトラマンオーブ,C
709,ウルトラマンゼロ,ウルトラマンゼロが「ゼロシュート」を使用する時のエネルギーの形態は？,光線,爆発,高速移動,高熱,A
710,ウルトラマンゼロ,ウルトラマンゼロが宿敵「ダークロプス」に対抗するために使用する技は？,ゼロビーム,ゼロツインシュート,ゼロスラッガー,ゼロシュート,B
711,ウルトラマンゼロ,ウルトラマンゼロが地球で戦う時、彼の援助をするチームは？,GUTS,AEGIS,MAC,SPD,C
712,ウルトラマンゼロ,ウルトラマンゼロが使用する「ゼロの光」の特性は？,高熱,照明,高速移動,強力なエネルギー波,D
713,ウルトラマンゼロ,ウルトラマンゼロの武器「ゼロスラッガー」の形状は？,剣,斧,棒,銃,B
714,ウルトラマンゼロ,ウルトラマンゼロのエピソード「ウルトラマンゼロ外伝」で、ゼロが手に入れるアイテムは？,ゼロスパーク,ゼロブレイカー,ゼロアーマー,ゼロコア,A
715,ウルトラマンゼロ,ウルトラマンゼロが「ウルトラマンゼロ THE MOVIE」で戦う敵「ダークロプス」との戦いで使用した技は？,ゼロビーム,ゼロツインシュート,ゼロスラッガー,ゼロシュート,B
716,ウルトラマンゼロ,ウルトラマンゼロが使用する「ゼロの盾」の機能は？,防御,攻撃,高速移動,光線放出,A
717,ウルトラマンゼロ,ウルトラマンゼロのエピソード「ウルトラマンゼロ THE MOVIE」で、ゼロが助けを求めるウルトラマンは？,ウルトラマンティガ,ウルトラマンキング,ウルトラマンレオ,ウルトラマンジャック,B
718,ウルトラマンゼロ,ウルトラマンゼロが「ゼロスラッガー」を使用する際の攻撃スタイルは？,近接攻撃,遠距離攻撃,高速回転攻撃,高熱攻撃,C
719,ウルトラマンゼロ,ウルトラマンゼロのエピソード「ウルトラマンゼロ外伝」で、ゼロが訪れる星の名前は？,ゼルダ星,カリ星,バルタン星,アストロ星,B
720,ウルトラマンゼロ,ウルトラマンゼロがエネルギーを放出する際に使用するアイテムは？,ゼロスパーク,ゼロアーマー,ゼロブレイカー,ゼロシールド,A
721,ウルトラマンゼロ,ウルトラマンゼロのエピソード「ウルトラマンゼロ THE MOVIE」で、ゼロが協力するウルトラマンは？,ウルトラマンティガ,ウルトラマンタロウ,ウルトラマンオーブ,ウルトラマンガイア,D
722,ウルトラマンゼロ,ウルトラマンゼロの必殺技「ゼロビーム」を放つ時にゼロが行う動作は？,手を合わせる,腕を広げる,膝を曲げる,空中で回転する,B
723,ウルトラマンゼロ,ウルトラマンゼロのエピソード「ウルトラマンゼロ外伝」で、大地が助ける者は？,他のウルトラマン,地球の市民,宇宙の仲間,古代の戦士,A
724,ウルトラマンゼロ,ウルトラマンゼロが「ゼロスラッガー」を使用する際の技の名称は？,ゼロスラッシュ,ゼロエッジ,ゼロアタック,ゼロカット,D
725,ウルトラマンゼロ,ウルトラマンゼロのエピソード「ウルトラマンゼロ THE MOVIE」で、ゼロが使用するアイテムの名前は？,ゼロスパーク,ゼロアーマー,ゼロシールド,ゼロブレイカー,A
726,ウルトラマンゼロ,ウルトラマンゼロが「ゼロツインシュート」を発動する際に、ゼロが使うのはどの武器？,ゼロスラッガー,ゼロブレイカー,ゼロスパーク,ゼロアーマー,A
727,ウルトラマンゼロ,ウルトラマンゼロの「ダークロプスゼロ」との関係は？,親子関係,兄弟関係,宿敵,盟友,C
728,ウルトラマンゼロ,ウルトラマンゼロの変身シーンで使用するポーズは？,両手を前に出す,腕を交差させる,両手を広げる,手を頭の上に上げる,C
729,ウルトラマンゼロ,ウルトラマンゼロの「ゼロスラッガー」はどのような形状の武器ですか？,剣,斧,銃,棒,B
730,ウルトラマンゼロ,ウルトラマンゼロのエピソード「ウルトラマンゼロ THE MOVIE」で、ゼロが協力するウルトラマンの名前は？,ウルトラマンメビウス,ウルトラマンギンガ,ウルトラマンオーブ,ウルトラマンティガ,A
731,ウルトラマンゼロ,ウルトラマンゼロが「ゼロビーム」を放つとき、ゼロが使用するエネルギーの色は？,赤,青,緑,紫,B
732,ウルトラマンゼロ,ウルトラマンゼロの「ゼロの光」が使われるエピソードは？,「ウルトラマンゼロ THE MOVIE」,「ウルトラマンゼロ外伝」,「ウルトラマンギンガ」,「ウルトラマンメビウス」,A
733,ウルトラマンゼロ,ウルトラマンゼロの「ゼロツインシュート」はどのような攻撃方法ですか？,高速光線,爆発エネルギー,両手からのエネルギー波,防御シールド,C
734,ウルトラマンゼロ,ウルトラマンゼロのエピソード「ウルトラマンゼロ外伝」で、ゼロが助けることになるウルトラマンは？,ウルトラマンキング,ウルトラマンタロウ,ウルトラマンレオ,ウルトラマンオーブ,A
735,ウルトラマンゼロ,ウルトラマンゼロの「ゼロスパーク」を使用することで得られる力は？,高速移動,強力なエネルギー波,変身能力の強化,高熱攻撃,B
736,ウルトラマンゼロ,ウルトラマンゼロのエピソード「ウルトラマンゼロ THE MOVIE」で、ゼロが戦う主要な敵の名前は？,バルタン星人,ゼットン,ダークロプス,デビルス,C
737,ウルトラマンゼロ,ウルトラマンゼロの必殺技「ゼロビーム」の効果は？,敵を一瞬で消滅させる,高速移動を可能にする,敵のエネルギーを吸収する,高熱で敵を攻撃する,D
738,ウルトラマンゼロ,ウルトラマンゼロが「ゼロスラッガー」を使う際、ゼロが行うのは？,軽いジャンプ,高速回転,手を前に伸ばす,空中での回転,B
739,ウルトラマンゼロ,ウルトラマンゼロが使用する「ゼロアーマー」の効果は？,防御力の強化,攻撃力の強化,高速移動,エネルギーの回復,A
740,ウルトラマンゼロ,ウルトラマンゼロのエピソード「ウルトラマンゼロ THE MOVIE」で、ゼロが対決するボスキャラは？,ギガス,デビルス,メトロン星人,ダークロプス,D
741,ウルトラマンゼロ,ウルトラマンゼロの必殺技「ゼロツインシュート」を発動する際にゼロがする動作は？,手を広げる,腕を交差させる,手を組み合わせる,空中で回転する,A
742,ウルトラマンゼロ,ウルトラマンゼロの変身アイテム「ゼロスパーク」はどのような機能を持っているか？,変身サポート,高速移動,強力な攻撃,防御シールド,A
743,ウルトラマンゼロ,ウルトラマンゼロが地球で戦う際に協力する組織の名前は？,GUTS,SPD,MAC,AEGIS,C
744,ウルトラマンゼロ,ウルトラマンゼロが「ゼロツインシュート」を発動するために使用するエネルギーの形態は？,高熱光線,双方のエネルギー波,巨大なエネルギー爆発,防御シールド,B
745,ウルトラマンゼロ,ウルトラマンゼロの「ダークロプスゼロ」とは、どのような敵か？,宇宙の覇者,ダークエネルギーを操る存在,強力な機械生命体,地球外の侵略者,B
746,ウルトラマンゼロ,ウルトラマンゼロのエピソード「ウルトラマンゼロ外伝」でゼロが戦う相手の名前は？,バルタン星人,ゼットン,ダークロプス,ギガス,C
747,ウルトラマンゼロ,ウルトラマンゼロがエネルギーを発射する際に使うポーズは？,両手を広げる,腕を上げる,手を合わせる,両手を前に出す,D
748,ウルトラマンゼロ,ウルトラマンゼロが「ゼロビーム」を放つ時のエネルギーの色は？,赤,青,緑,黄,B
749,ウルトラマンゼロ,ウルトラマンゼロが「ゼロスラッガー」を使う際の技の名称は？,ゼロカット,ゼロブレイカー,ゼロスラッシュ,ゼロアタック,A
750,ウルトラマンゼロ,ウルトラマンゼロが「ゼロスパーク」を使うときのエネルギーの色は？,赤,青,緑,紫,B
751,ウルトラマンゼロ,ウルトラマンゼロが「ゼロツインシュート」を使用する際に必要なエネルギーの源は？,ゼロスパーク,宇宙エネルギー,地球の力,精神エネルギー,A
752,ウルトラマンゼロ,ウルトラマンゼロが「ゼロアーマー」を装備することで得られる能力は？,高速移動,強力な攻撃,防御力の向上,エネルギー吸収,C
753,ウルトラマンゼロ,ウルトラマンゼロが「ゼロビーム」を発動する際、ゼロがする動作は？,手を合わせる,両手を前に出す,腕を交差させる,手を頭の上に上げる,B
754,ウルトラマンゼロ,ウルトラマンゼロの「ゼロスラッガー」が使用されるエピソードは？,「ウルトラマンゼロ THE MOVIE」,「ウルトラマンメビウス」,「ウルトラマンギンガ」,「ウルトラマンオーブ」,A
755,ウルトラマンゼロ,ウルトラマンゼロが「ゼロツインシュート」を発動する際にゼロが行うのは？,空中での回転,手を広げる,高速回転,腕を組み合わせる,B
756,ウルトラマンゼロ,ウルトラマンゼロの宿敵「ダークロプスゼロ」はどのような形状をしていますか？,人型,機械生命体,宇宙怪獣,エネルギー体,B
757,ウルトラマンゼロ,ウルトラマンゼロがエネルギーを発射する際に使用するポーズは？,両手を前に伸ばす,腕を広げる,手を合わせる,膝を曲げる,A
758,ウルトラマンゼロ,ウルトラマンゼロの「ゼロスパーク」の形状は？,スティック状,ボール状,盾状,剣状,A
759,ウルトラマンゼロ,ウルトラマンゼロが「ゼロビーム」を放つとき、ゼロのエネルギーの発射方法は？,高速の光線,爆発エネルギー,エネルギー波,高熱攻撃,C
760,ウルトラマンゼロ,ウルトラマンゼロの変身アイテム「ゼロスパーク」の役割は？,高速移動,変身サポート,攻撃力強化,防御シールド,B
761,ウルトラマンゼロ,ウルトラマンゼロが「ゼロツインシュート」を使用する際の攻撃の特徴は？,両手からのエネルギー波,高速の光線,巨大なエネルギー爆発,防御シールドの展開,A
762,ウルトラマンゼロ,ウルトラマンゼロのエピソード「ウルトラマンゼロ外伝」でゼロが協力するウルトラマンの名前は？,ウルトラマンキング,ウルトラマンジャック,ウルトラマンレオ,ウルトラマンタロウ,A
763,ウルトラマンゼロ,ウルトラマンゼロが「ゼロビーム」を使用する際に必要なエネルギーの形態は？,光線,爆発,高熱,高速回転,C
764,ウルトラマンゼロ,ウルトラマンゼロの「ゼロスラッガー」が使用されるエピソードは？,「ウルトラマンゼロ THE MOVIE」,「ウルトラマンティガ」,「ウルトラマンオーブ」,「ウルトラマンギンガ」,A
765,ウルトラマンゼロ,ウルトラマンゼロの必殺技「ゼロツインシュート」のエネルギーの色は？,青,赤,緑,紫,A
766,ウルトラマンゼロ,ウルトラマンゼロが「ゼロスパーク」を使用する際にゼロが行う動作は？,手を前に出す,両手を広げる,腕を上げる,手を頭の上に上げる,B
767,ウルトラマンゼロ,ウルトラマンゼロが「ゼロアーマー」を装備することで得られる能力は？,防御力の向上,攻撃力の強化,高速移動,エネルギー吸収,A
768,ウルトラマンゼロ,ウルトラマンゼロの「ゼロビーム」を発射する際、ゼロが行うポーズは？,手を前に伸ばす,両手を広げる,腕を交差させる,空中での回転,A
769,ウルトラマンゼロ,ウルトラマンゼロが「ゼロツインシュート」を使用する際にゼロが行う動作は？,手を広げる,空中での回転,腕を組み合わせる,高速回転,A
770,ウルトラマンゼロ,ウルトラマンゼロの「ダークロプスゼロ」はどのような攻撃をするか？,エネルギー吸収,高熱光線,高速移動,防御シールド,A
771,ウルトラマンゼロ,ウルトラマンゼロが「ゼロスラッガー」を使用する際の技の名称は？,ゼロカット,ゼロアタック,ゼロブレイカー,ゼロスラッシュ,A
772,ウルトラマンゼロ,ウルトラマンゼロの「ゼロビーム」を使用する時のエネルギーの色は？,青,赤,緑,黄,A
773,ウルトラマンゼロ,ウルトラマンゼロが使用する「ゼロスパーク」の主な機能は？,変身サポート,高速移動,エネルギー回復,強力な攻撃,A
774,ウルトラマンゼロ,ウルトラマンゼロが「ゼロツインシュート」を使用する際のエネルギーの形態は？,高熱光線,双方のエネルギー波,巨大なエネルギー爆発,防御シールド,B
775,ウルトラマンゼロ,ウルトラマンゼロが「ゼロスパーク」を使用する時、ゼロがするポーズは？,手を前に伸ばす,腕を広げる,空中での回転,手を頭の上に上げる,B
776,ウルトラマンゼロ,ウルトラマンゼロが「ゼロスラッガー」を使う際にゼロが行う動作は？,高速回転,手を広げる,空中での回転,腕を組み合わせる,A
777,ウルトラマンゼロ,ウルトラマンゼロが「ゼロビーム」を使用する時の攻撃の特徴は？,高速光線,爆発エネルギー,高熱のエネルギー波,防御シールド,C
778,ウルトラマンゼロ,ウルトラマンゼロが「ゼロツインシュート」を使用する際のポーズは？,両手を前に出す,腕を交差させる,手を頭の上に上げる,両手を広げる,A
779,ウルトラマンゼロ,ウルトラマンゼロが「ゼロアーマー」を装備することで、ゼロはどのような能力を得るか？,高速移動,攻撃力の強化,防御力の向上,エネルギー吸収,C
780,ウルトラマンゼロ,ウルトラマンゼロの必殺技「ゼロスパーク」の使用シーンは？,戦いの開始時,最大の攻撃時,防御時,変身時,B
781,ウルトラマンゼロ,ウルトラマンゼロの「ゼロスラッガー」が使用されるエピソードは？,「ウルトラマンゼロ THE MOVIE」,「ウルトラマンティガ」,「ウルトラマンオーブ」,「ウルトラマンギンガ」,A
782,ウルトラマンゼロ,ウルトラマンゼロの「ゼロツインシュート」が発動するためには、ゼロがどうするか？,両手を広げる,両手を前に出す,腕を組み合わせる,空中で回転する,B
783,ウルトラマンゼロ,ウルトラマンゼロの「ゼロスパーク」が使われる際のエネルギーの形態は？,高速光線,爆発エネルギー,エネルギー波,防御シールド,C
784,ウルトラマンゼロ,ウルトラマンゼロの「ダークロプスゼロ」はどのような姿をしているか？,機械生命体,宇宙怪獣,高熱のエネルギー体,精霊,A
785,ウルトラマンゼロ,ウルトラマンゼロのエピソード「ウルトラマンゼロ THE MOVIE」で、ゼロが戦う主要な敵の名前は？,ダークロプス,ゼットン,バルタン星人,メトロン星人,A
786,ウルトラマンゼロ,ウルトラマンゼロの「ゼロアーマー」の主な機能は？,攻撃力の強化,高速移動,防御力の向上,エネルギー吸収,C
787,ウルトラマンゼロ,ウルトラマンゼロが「ゼロツインシュート」を使用する際にゼロがする動作は？,両手を広げる,高速回転,手を組み合わせる,腕を交差させる,A
788,ウルトラマンゼロ,ウルトラマンゼロが「ゼロスパーク」を使用する際のポーズは？,手を前に出す,腕を上げる,両手を広げる,手を組み合わせる,C
789,ウルトラマンゼロ,ウルトラマンゼロの必殺技「ゼロビーム」のエネルギーの色は？,青,赤,緑,紫,A
790,ウルトラマンゼロ,ウルトラマンゼロが「ゼロスラッガー」を使用する際の特徴は？,高速光線,爆発エネルギー,斧の形状,防御シールド,C
791,ウルトラマンゼロ,ウルトラマンゼロの「ゼロツインシュート」が発動する際、ゼロが行うのは？,両手を前に出す,高速回転,手を頭の上に上げる,空中での回転,A
792,ウルトラマンゼロ,ウルトラマンゼロの「ゼロビーム」はどのような攻撃方法ですか？,高速光線,高熱エネルギー波,防御シールド,爆発エネルギー,B
793,ウルトラマンゼロ,ウルトラマンゼロが「ゼロスパーク」を使う際のエネルギーの色は？,青,赤,緑,黄,A
794,ウルトラマンゼロ,ウルトラマンゼロの「ゼロアーマー」の機能は？,高速移動,攻撃力の強化,防御力の強化,エネルギー吸収,C
795,ウルトラマンゼロ,ウルトラマンゼロが「ゼロツインシュート」を使用する際に必要なエネルギーの源は？,ゼロスパーク,宇宙エネルギー,地球の力,精神エネルギー,A
796,ウルトラマンゼロ,ウルトラマンゼロが「ゼロビーム」を発射する際のエネルギーの形態は？,光線,爆発,高熱,高速回転,C
797,ウルトラマンゼロ,ウルトラマンゼロが「ゼロスラッガー」を使用する際の技の名称は？,ゼロカット,ゼロアタック,ゼロブレイカー,ゼロスラッシュ,A
798,ウルトラマンゼロ,ウルトラマンゼロが「ゼロスパーク」を使用する際にゼロが行う動作は？,手を前に伸ばす,腕を広げる,空中での回転,手を組み合わせる,B
799,ウルトラマンゼロ,. ウルトラマンゼロの「ダークロプスゼロ」はどのような敵ですか？,機械生命体,高熱エネルギー体,精霊,宇宙怪獣,A
